Texto,Label
O mandato do presidente da República no Brasil tem duração de quatro anos,True
"Diferente de outros políticos, Lula não enriqueceu.",True
O título de eleitor identifica o cidadão perante a Justiça Eleitoral,True
Lula diz no Piauí que políticos não devem cuidar de pobres,Fake
PT votou contra Auxílio Brasil,Fake
Paulo Pimenta deixou escapar que houve fraude e que Lula foi eleito com 39% dos votos,Fake
Agressor de Bolsonaro é assessor da campanha de Dilma ao Senado,Fake
A Justiça Eleitoral fiscaliza o processo eleitoral brasileiro,True
Daniel Vorcaro entregou em delação quem foi responsável pelo atentado contra Bolsonaro em 2018,Fake
Trump vai mandar prender Alexandre de Moraes assim que assumir a presidência dos EUA,Fake
Bolsonaro deixou obra da ponte sobre o Rio Araguaia parada por quatro anos,Fake
Na campanha: pobre vai comer picanha; No governo: pobre vai comer comida vencida,Fake
A propaganda eleitoral possui regras definidas pela legislação brasileira,True
Foto mostra Bolsonaro ao lado do chefe do Hamas,Fake
O boletim de urna é emitido ao final da votação em cada seção eleitoral,True
Bolsonaro confessou que só venceu eleições em 2018 porque Lula foi preso,Fake
O mesário é convocado pela Justiça Eleitoral para trabalhar no dia da votação,True
As eleições municipais elegem prefeitos e vereadores,True
Governo federal lançou programa “Resgate da Prosperidade” para distribuir benefícios aos brasileiros,Fake
Trump disse que vai prender Alexandre de Moraes na primeira semana como presidente dos EUA,Fake
"O Brasil tem três por cento da população mundial. Entretanto, o Brasil tem 11% das vítimas de Covid. Ou seja, três vezes mais do que a média",True
Senadores representam os estados no Senado Federal,True
Advogado defende a impressão de comprovantes de votação durante julgamento no STF e fala sobre falhas encontradas nas urnas eletrônicas que poderiam ameaçar o processo eleitoral.,Fake
Guga Chacra chora ao vivo ao ver Donald Trump sendo eleito nos Estados Unidos,Fake
A urna eletrônica é utilizada no Brasil desde a década de 1990,True
Elon Musk revela documentos sobre ajuda do Twitter para fraudar eleições no Brasil,Fake
"""A presidente do México, Claudia Sheinbaum, de 63 anos, foi retirada do país e levada para um navio de guerra da Marinha no Pacífico, por razões de segurança""",Fake
O voto branco é registrado separadamente dos votos válidos,True
André Ventura vence em Portugal e vai proibir a entrada de Lula no país,Fake
As pesquisas eleitorais devem ser registradas na Justiça Eleitoral,True
"g1: ‘Lula, atual presidente do Brasil, morre aos 78 anos em São Paulo’",Fake
"Voto de eleitor de Miami, nos EUA, não foi contabilizado",Fake
Prefeitos são eleitos pelo voto popular nos municípios,True
Jornalistas da Globo se assustam com fraudes nas urnas,Fake
A boca de urna é proibida no dia da votação,True
Leonel Brizola avisou há 22 anos sobre o governo de Jair Bolsonaro,Fake
Eleitores maiores de 70 anos têm voto facultativo no Brasil,True
O segundo turno ocorre quando nenhum candidato atinge maioria absoluta dos votos,True
Suzane von Richthofen é candidata a deputada federal pelo PT,Fake
Kamala Harris forjou ligação com eleitores,Fake
Giuseppe Dutra Janino fraudou as urnas eletrônicas,Fake
Voto de Fux remete processo de Bolsonaro para a primeira instância,Fake
Rede Globo em clima de velório foram obrigados a noticiar que nunca houve encontro entre Bolsonaro e o hacker,Fake
Os candidatos precisam registrar candidatura na Justiça Eleitoral,True
Intercept admite não ter provas do pagamento do valor para o filme de Bolsonaro,Fake
Mesária mostra fraude da eleição passada para presidente,Fake
O eleitor precisa estar regular com a Justiça Eleitoral para votar,True
Ernesto Araújo disse que não é hora de combater a miséria e sim de combater o PT e o comunismo.,Fake
As eleições presidenciais acontecem a cada quatro anos no Brasil,True
Dinheiro público banca 1400 pessoas na comitiva brasileira da COP28,Fake
Lula sanciona lei que regulamenta função de criador de conteúdo e categoria passa a pagar imposto,Fake
"Ajude o Isaac. Ele perdeu o pai, e agora descobriu um câncer. Agora, ele precisa realizar a cirurgia de remoção do câncer urgente, antes da metástase.",Fake
"Se eleito presidente dos Estados Unidos, Trump mandará prender o ministro Alexandre de Moraes.",Fake
"Com os olhos cheios de lágrimas e gaguejando o Lula fala pela primeira vez sobre a captura de Nicolas Maduro na Venezuela. ""Calma que o grosso ainda vem"".",Fake
Equipamento de votação troca voto de Trump para Kamala em Kentucky,Fake
"As eleições gerais elegem presidente, governadores, senadores e deputados",True
TSE mandou retirar todos os vídeos do 7 de Setembro da internet,Fake
O resultado oficial das eleições é divulgado pela Justiça Eleitoral,True
"Joe Biden diz que não pode vencer esta eleição, só Donald Trump pode vencer",Fake
O Brasil utiliza sistema eletrônico de votação nas eleições,True
"Nós saímos de 3,5 milhões de estudantes na universidade pra 8,5 milhões",True
A maioria absoluta corresponde a mais da metade dos votos válidos,True
Não houve aumento do salário mínimo [no governo Bolsonaro]. Houve apenas uma reposição inflacionária,True
E você sabe que eu fui absolvido em todos os 26 processos,Fake
Graças a vocês eu fui eleito com a campanha mais barata da história,True
Analfabetos têm voto facultativo no Brasil,True
"""A Presidente da Namíbia, Sua Excelência Netumbo Nandi-Ndaitwah, rejeitou firmemente uma proposta da Fundação Bill & Melinda Gates para realizar ensaios de um dispositivo hormonal intrauterino (DIU) concebido para prevenir a gravidez por até oito anos na Namíbia""",Fake
Jovens de 16 e 17 anos podem votar de forma facultativa no Brasil,True
O voto no Brasil é secreto e obrigatório para maiores de 18 anos,True
O voto nulo não é considerado voto válido para definir o vencedor,True
O voto é obrigatório para brasileiros alfabetizados entre 18 e 70 anos,True
Mulher diz que trabalha para Ibope e Datafolha e acusa institutos fraudar pesquisas,Fake
Suposta fraude em pesquisa eleitoral por telefone. Não se pode escolher a opção referente ao presidente Jair Bolsonaro.,True
Descarte de 195 mil urnas eletrônicas é queima de arquivo,Fake
Votos válidos excluem votos brancos e nulos,True
Nunca se falou de contagem manual em discussão sobre voto impresso,True
Os partidos políticos podem lançar candidatos nas eleições,True
Avião do presidente Lula foi interceptado com malas de dinheiro ligadas à fraude no INSS,Fake
A prestação de contas de campanha deve ser apresentada à Justiça Eleitoral,True
"O que estamos denunciando é que o impedimento de Lula seria uma fraude nas eleições. [O boicote] é uma coisa que não está sendo oficialmente discutida ainda, mas vai caminhar para isso se ele for impedido de ser candidato. É um processo que não tem base jurídica.",True
O presidente da República é eleito pelo voto direto da população,True
Governadores são eleitos pelo voto popular nos estados,True
Seção de eleitora de Petrópolis sumiu e voto não foi contabilizado,Fake
Elon Musk postou no X provas de que eleições brasileiras foram fraudadas e que Jair Bolsonaro (PL) venceu as eleições de 2022,Fake
"""É FR4UDE, É MIA, É FR4UDEMIA!
If a person has POPVIRUS listed on their death certificate, it does not mean that they were infected with POPVIRUS. Estão a gostar de viver um circo mediático apocalíptico apoiado numa fr4ude absurda e óbvia há TANTOS meses c()videiros?""",Fake
Incêndios florestais se alastraram pelo país e já devoraram 5 milhões de hectares apenas no mês de agosto.,True
Funcionário do sistema eleitoral da Venezuela publicou foto que mostra derrota de Maduro,Fake
A investigação da imprensa revelou outro escândalo: 51 desses imóveis foram pagos em dinheiro vivo no valor atualizado de R$ 25 milhões,Fake
Títulos de eleitor encontrados no lixo reciclável no Ceará provam fraude eleitoral no estado.,Fake
Deputados federais representam a população na Câmara dos Deputados,True
A biometria é usada para identificar eleitores em muitas cidades brasileiras,True
O horário eleitoral gratuito é transmitido no rádio e na televisão,True
Vereadores são eleitos nas eleições municipais,True
Municípios com menos de 200 mil eleitores não têm segundo turno para prefeito,True
"Vídeo mostra autor de atentado em Brasília, Francisco Wanderley Luiz, ao lado de Jair Bolsonaro e Abílio Brunini",Fake
O TSE é responsável pela organização das eleições brasileiras,True
O eleitor pode justificar ausência caso não consiga votar,True
"Parabéns ao primeiro vice-presidente católico da América. Orgulha a maior igreja do mundo, JD Vance.",Fake
A compra de votos é crime eleitoral no Brasil,True
Tudo que você precisa saber sobre as Eleições Municipais de 2024,True
